t,receiver,sender,accepted,range,r_hat,nu,nis,S,R_eff,packet_age,t_tx_payload,t_meas,dt_sender,dt_receiver,sender_x_meas,sender_y_meas,sender_z_meas,receiver_x_meas,receiver_y_meas,receiver_z_meas,receiver_x_post,receiver_y_post,receiver_z_post,traceP_pre,traceP_post
5.133333333333325,A03,A01,1,157.87452547923024,158.08340635988125,-0.20888088065100874,0.021253967645204645,2.05285069733251,1.8014515908519804,5.099999999999992,0.03333333333333333,0.13849241853168884,0.10515908519835551,4.994840914801636,-99.75680929798389,-0.23869598927506067,69.0,50.20993157014464,49.76470389248226,69.0,48.684133147191794,49.772572677325584,69.0,0.6037140364678893,0.5729264210381212
5.133333333333325,A04,A01,1,159.87853164162306,158.05129739584535,1.8272342457777029,1.6263913736592126,2.0528791796472023,1.8014656888950173,5.099999999999992,0.03333333333333333,0.13990222283539663,0.10656888950206331,4.993431110497928,-99.75680929798389,-0.23869598927506067,69.0,50.17729465802994,-50.23846678292152,69.0,47.91172929853919,-50.305624834692416,69.0,0.6037459823127465,0.5729552994524553
5.166666666666658,A02,A01,1,200.67765858005225,199.90676429141408,0.7708942886381749,0.2874977793546495,2.0670698938577625,1.8153821023667993,5.133333333333325,0.03333333333333333,0.16709912556913312,0.1337657922357998,4.999567541097525,-99.75680929798389,-0.23869598927506067,69.0,100.14995490407436,-0.2446730847500901,69.0,97.24006827260949,-0.23958223537518375,69.0,0.6044432868087044,0.5737970330682917
10.299999999999974,A03,A02,1,70.66172832145722,69.68971360112212,0.9720147203350962,0.638833752183431,1.478964774980811,1.1810777578810367,5.033333333333316,5.266666666666658,5.313746868558209,0.04708020189155171,4.986253131441765,97.1724121592242,-0.23788182287946022,69.0,48.63329346460527,49.7682191864586,69.0,47.010800333471984,49.880759255709066,69.0,0.6773118140492063,0.6172139221993869
10.299999999999974,A04,A02,1,65.07398333040915,70.29625353927864,-5.222270208869489,18.443265681069036,1.4787026661140084,1.1810228757067662,5.033333333333316,5.266666666666658,5.310038287857686,0.043371621191028,4.989961712142288,97.17457255065928,-0.23790407873248642,69.0,47.824706858191014,-50.29940643127768,69.0,46.095615189293,-49.51790606981032,69.0,0.6773720687857181,0.6173441256420642
10.399999999999974,A01,A02,1,194.4886330823163,197.96902649077708,-3.4803934084607704,7.952165283725413,1.5232503155395234,1.2187457708901142,5.133333333333316,5.266666666666658,5.396237737260516,0.1295710705938582,5.003762262739458,97.1243580434834,-0.2373867804904452,69.0,-100.84466784728667,-0.22197361702094678,69.0,-101.16514599659791,-0.23815640049356956,69.0,0.7100994802530056,0.6492273625208184
15.533333333333289,A02,A03,1,72.34321604976265,68.77698355080098,3.566232498961668,5.8420265596044,2.1769867197439785,1.834720697084965,5.0333333333333155,10.499999999999973,10.5482250274722,0.04822502747222579,4.98510830586109,46.94307726174263,49.874245665770154,69.0,94.01213088198021,-0.27331317453977944,69.0,91.396674303007,-0.7217152788378584,69.0,0.7833545772236596,0.7294343759684104
15.566666666666622,A04,A03,1,100.19580229619807,99.40051506632676,0.7952872298713061,0.2904947872214315,2.177256893474864,1.8568167655457106,5.066666666666649,10.499999999999973,10.56673323660351,0.06673323660353603,4.999933430063113,46.937412911486284,49.8731846238098,69.0,45.96079220745846,-49.522532625232266,69.0,43.486747698183365,-49.62216765631014,69.0,0.7237835549763209,0.6764223851238921
15.599999999999955,A01,A03,1,154.4204234788182,156.37802607269728,-1.9576025938790735,1.7766130728721206,2.157030123259662,1.8545557897083151,5.099999999999982,10.499999999999973,10.603050716835044,0.10305071683507094,4.996949283164911,46.92629811766697,49.871102608734944,69.0,-101.20596313049242,-0.2379805588929791,69.0,-101.94962608706216,-0.16392822762631187,69.0,0.7542758342901403,0.7117016881895599
20.800000000000193,A02,A04,1,68.29161729178956,68.41968661823307,-0.12806932644350866,0.010342840585646725,1.5858073263215053,1.1913868314821232,5.033333333333571,15.766666666666621,15.812195647841307,0.04552898117468551,4.987804352158886,43.37739150634048,-49.622025573443466,69.0,91.22869622215082,-0.7189975083850656,69.0,88.24768614015973,-0.7419152204541541,69.0,0.8358963839229744,0.7377223536882133
