t,agent,x,y,z,psi,x_hat,y_hat,z_hat,psi_hat,u_hat,v_hat,ex,ey,ez,e_norm,traceP_pos,traceP_vel,Pxx,Pyy,Pzz,Ppsi,Puu,Pvv,last_local_update,last_coop_update,quality
0.03333333333333333,A01,-100.00051716678473,0.048607822016431816,69.0,181.0,-99.76033936116588,-0.23820120418156857,69.0,178.55755328855946,0.10943195864132904,0.015833122991747065,0.24017780561885615,-0.28680902619800036,0.0,0.37409196171601217,0.5006734158895902,0.004666463414634147,0.25033611111111115,0.2503363143631437,9.904153354632587e-07,2.769325436504884,0.0023250000000000002,0.0023414634146341467,0.03333333333333333,0.0,0.5006734158895902
0.03333333333333333,A02,99.97583568977474,-0.04824036363793396,69.0,181.0,100.22820971563836,-0.23867703504706814,69.0,179.1215690065016,0.4644105777103388,0.0006065352957604554,0.2523740258636167,-0.19043667140913417,0.0,0.31616257645078744,0.5006734158895902,0.004666463414634147,0.25033611111111115,0.2503363143631437,9.904153354632587e-07,2.769325436504884,0.0023250000000000002,0.0023414634146341467,0.03333333333333333,0.0,0.5006734158895902
0.03333333333333333,A03,49.994359856406454,50.03195408079762,69.0,180.36135309965232,50.23678231852784,49.7604937473746,69.0,179.7498239173932,0.1986598881363696,-0.025928427210836744,0.2424224621213824,-0.2714603334230148,0.0,0.36394967064571915,0.5006734158895902,0.004666463414634147,0.25033611111111115,0.2503363143631437,9.904153354632587e-07,2.769325436504884,0.0023250000000000002,0.0023414634146341467,0.03333333333333333,0.0,0.5006734158895902
0.03333333333333333,A04,49.98457990850091,-49.982111564470195,69.0,179.0,50.230419584287404,-50.23939022283582,69.0,-178.34476489817874,0.3959046495897503,-0.022215473944570945,0.2458396757864918,-0.25727865836562813,0.0,0.35585032561629754,0.5006734158895902,0.004666463414634147,0.25033611111111115,0.2503363143631437,9.904153354632587e-07,2.769325436504884,0.0023250000000000002,0.0023414634146341467,0.03333333333333333,0.0,0.5006734158895902
0.06666666666666667,A01,-100.00284693597385,0.0972558763415988,69.0,180.0,-99.76642933654513,-0.23861800053556123,69.0,179.76501747519302,0.15181106172381725,-0.0038792326089080766,0.23641759942871943,-0.33587387687716,0.0,0.41073658528080026,0.5013470560523814,0.002911455395879876,0.25067291698905486,0.250673326900894,8.121624324864973e-07,1.6367458034247981,0.0014094256259204712,0.0015020297699594046,0.06666666666666667,0.0,0.5013470560523814
0.06666666666666667,A02,99.95223741459463,-0.09734413691497058,69.0,180.43036864243385,100.20965597877098,-0.23831600695992025,69.0,179.71409650055216,0.5180118218009937,0.005371840873695102,0.2574185641763478,-0.14097187004494965,0.0,0.293491712534754,0.5013471699284773,0.002911455395879876,0.25067291739179276,0.250673440374252,8.121624324864973e-07,1.6367458034247981,0.0014094256259204712,0.0015020297699594046,0.06666666666666667,0.0,0.5013471699284773
0.06666666666666667,A03,49.987930958931834,50.06760162502696,69.0,181.25144378366457,50.2281272336103,49.76331597566649,69.0,179.48797953279302,0.2341113525866267,0.04613848062305903,0.2401962746784676,-0.3042856493604731,0.0,0.38766481240388406,0.5013470733336215,0.002911455395879876,0.2506729180104733,0.2506733431607156,8.121624324864973e-07,1.6367458034247981,0.0014094256259204712,0.0015020297699594046,0.06666666666666667,0.0,0.5013470733336215
0.06666666666666667,A04,49.96805166809439,-49.96469434988286,69.0,180.0,50.213264226096385,-50.239970049703985,69.0,-179.81751814015217,0.4648219314368065,-0.017018299655118186,0.24521255800199526,-0.27527569982112254,0.0,0.3686541868932057,0.5013471357803503,0.002911455395879876,0.2506729171422378,0.2506734064756799,8.121624324864973e-07,1.6367458034247981,0.0014094256259204712,0.0015020297699594046,0.06666666666666667,0.0,0.5013471357803503
0.1,A01,-100.00458273090786,0.14407319478782737,69.0,181.0,-99.77247207042814,-0.24136573413964613,69.0,179.2346824227114,0.16491114901778892,-0.05101100031815124,0.2321106604797194,-0.3854389289274735,0.0,0.4499316910833127,0.5020208983412074,0.0023611189369363997,0.2510097607075887,0.2510103319783516,8.056552671478742e-07,1.1619862693560294,0.0011023703550357108,0.0012587485819006892,0.1,0.0,0.5020208983412074
0.1,A02,99.92721033403764,-0.15120810105722254,69.0,179.50661847357577,100.18970081830635,-0.24083459988355366,69.0,-179.93450326113594,0.5543920366104966,-0.03955289452802846,0.26249048426871013,-0.08962649882633111,0.0,0.2773700842259098,0.5020212524753229,0.0023611189369363997,0.25100976143060716,0.25101068538944854,8.056552671478742e-07,1.1619862693560294,0.0011023703550357108,0.0012587485819006892,0.1,0.0,0.5020212524753229
0.1,A03,49.97989208310083,50.096984790963546,69.0,181.87019004829517,50.21795041153655,49.76321480049963,69.0,179.45697605499493,0.26654570414577605,0.016299536901909224,0.23805832843572006,-0.33376999046391376,0.0,0.40996850399986856,0.5020209473586003,0.0023611189369363997,0.25100976180066353,0.25101037990266956,8.056552671478742e-07,1.1619862693560294,0.0011023703550357108,0.0012587485819006892,0.1,0.0,0.5020209473586003
