t,agent,x,y,z,psi,x_hat,y_hat,z_hat,psi_hat,u_hat,v_hat,ex,ey,ez,e_norm,traceP_pos,traceP_vel,Pxx,Pyy,Pzz,Ppsi,Puu,Pvv,last_local_update,last_coop_update,quality
0.03333333333333333,A01,-100.00361886899788,0.05042154618586687,69.0,179.0,-99.76270457293644,-0.23703439398765755,69.0,-177.21756235309664,0.18275352352919258,0.053171049196899856,0.24091429606143322,-0.28745594017352444,0.0,0.37506081585233714,0.5006734158895902,0.004666463414634147,0.25033611111111115,0.2503363143631437,9.904153354632587e-07,2.769325436504884,0.0023250000000000002,0.0023414634146341467,0.03333333333333333,0.0,0.5006734158895902
0.03333333333333333,A02,99.9722632465512,-0.0496797359403462,69.0,180.71597208760076,100.31699629846065,-0.6947212241178888,69.0,179.5043100714949,0.5478788523594551,-0.034366458303978435,0.3447330519094578,-0.6450414881775426,0.0,0.7313818418234812,0.5006734158895902,0.004666463414634147,0.25033611111111115,0.2503363143631437,9.904153354632587e-07,2.769325436504884,0.0023250000000000002,0.0023414634146341467,0.03333333333333333,0.0,0.5006734158895902
0.03333333333333333,A03,49.99457350299181,50.035587453474456,69.0,179.76285539068874,50.826693811036094,49.90631790535551,69.0,-179.83581735032607,0.19376251758589522,0.05707724661050066,0.8321203080442814,-0.1292695481189483,0.0,0.842101432804022,0.5006734158895902,0.004666463414634147,0.25033611111111115,0.2503363143631437,9.904153354632587e-07,2.769325436504884,0.0023250000000000002,0.0023414634146341467,0.03333333333333333,0.0,0.5006734158895902
0.03333333333333333,A04,49.983981190418014,-49.97785661176298,69.0,179.0,50.2538986478644,-49.60931308054059,69.0,-177.49401407059528,0.4115492504673468,0.07715285197122373,0.2699174574463896,0.36854353122239303,0.0,0.45681480737843266,0.5006734158895902,0.004666463414634147,0.25033611111111115,0.2503363143631437,9.904153354632587e-07,2.769325436504884,0.0023250000000000002,0.0023414634146341467,0.03333333333333333,0.0,0.5006734158895902
0.06666666666666667,A01,-100.00320564843555,0.09887116508174874,69.0,178.35308465376704,-99.76701383587543,-0.23761788874175574,69.0,-178.0913891440322,0.15163956468514567,0.009457299140980244,0.23619181256012212,-0.33648905382350447,0.0,0.4111100286583546,0.5013470642408862,0.002911455395879876,0.2506729154560652,0.25067333662238844,8.121624324864973e-07,1.6367458034247981,0.0014094256259204712,0.0015020297699594046,0.06666666666666667,0.0,0.5013470642408862
0.06666666666666667,A02,99.94623636783538,-0.09783372356558964,69.0,179.71597208760076,100.29596086736815,-0.6943935142836727,69.0,-179.30319584686913,0.5965427348481233,-0.0008847920761678937,0.3497244995327691,-0.5965597907180831,0.0,0.6915134195914414,0.5013472178596338,0.002911455395879876,0.2506729180702637,0.2506734876269376,8.121624324864973e-07,1.6367458034247981,0.0014094256259204712,0.0015020297699594046,0.06666666666666667,0.0,0.5013472178596338
0.06666666666666667,A03,49.983022961304215,50.068689883324275,69.0,178.76285539068874,50.813807147051186,49.90738930131243,69.0,-178.67787688252574,0.3050714407897182,0.04369412716964319,0.8307841857469711,-0.16130058201184738,0.0,0.8462979623304185,0.5013470737333935,0.002911455395879876,0.2506729194474678,0.2506733421234932,8.121624324864973e-07,1.6367458034247981,0.0014094256259204712,0.0015020297699594046,0.06666666666666667,0.0,0.5013470737333935
0.06666666666666667,A04,49.96723295770815,-49.95916295633609,69.0,180.0,50.23647974914655,-49.60809064968742,69.0,-179.49904570906605,0.476009589351557,0.05429998378399455,0.26924679143839825,0.3510723066486676,0.0,0.4424314627097495,0.5013471426087889,0.002911455395879876,0.25067291693218013,0.25067341351417627,8.121624324864973e-07,1.6367458034247981,0.0014094256259204712,0.0015020297699594046,0.06666666666666667,0.0,0.5013471426087889
0.1,A01,-100.00932807055027,0.15027827715219744,69.0,179.35308465376704,-99.77650930402685,-0.237280105460878,69.0,-179.21542482613768,0.21250761724953765,0.011102127413565258,0.23281876652342248,-0.3875583826130754,0.0,0.45211290401751514,0.5020209114778635,0.0023611189369363997,0.2510097589729395,0.2510103468496569,8.056552671478742e-07,1.1619862693560294,0.0011023703550357108,0.0012587485819006892,0.1,0.0,0.5020209114778635
0.1,A02,99.92069867643313,-0.15041912602908697,69.0,180.71597208760076,100.27505897896266,-0.6953029356996027,69.0,179.88591044839586,0.6102266482674493,-0.021195026874438836,0.3543603025295283,-0.5448838096705158,0.0,0.6499766073097352,0.502021388191854,0.0023611189369363997,0.251009761651406,0.2510108208851809,8.056552671478742e-07,1.1619862693560294,0.0011023703550357108,0.0012587485819006892,0.1,0.0,0.502021388191854
