t,receiver,sender,msg_intact,range,t_meas,t_tx_payload,packet_age,sender_x_hat,sender_y_hat,sender_z_hat,sender_Pxx,sender_Pyy,sender_Pzz,receiver_x_hat,receiver_y_hat,receiver_z_hat,receiver_traceP_pos,nu
5.133333333333325,A03,A01,1,157.84742719975287,0.13847435301203725,0.03333333333333333,0.10514101967870393,-99.75680929798389,-0.23869598927506067,69.0,0.25,0.25,0.0001,48.65387300934898,49.785835483293695,69.0,0.5729270810985613,nan
5.133333333333325,A04,A01,1,159.85339354267148,0.13988546410276226,0.03333333333333333,0.10655213076942893,-99.75680929798389,-0.23869598927506067,69.0,0.25,0.25,0.0001,47.89725486926974,-50.32903700972928,69.0,0.5729557625701904,nan
5.166666666666658,A02,A01,1,200.65295604423403,0.16708265721192095,0.03333333333333333,0.13374932387858762,-99.75680929798389,-0.23869598927506067,69.0,0.25,0.25,0.0001,97.21912717860451,-0.24663474184848022,69.0,0.5737980048512762,nan
10.299999999999974,A03,A02,1,70.65902397950404,5.313745065663574,5.266666666666658,0.04707839899691635,97.17990723439532,-0.2453188454747811,69.0,0.272210957908909,0.3029338173673599,8.053994956985538e-07,46.95668263533776,49.89443985699289,69.0,0.6172150212413103,nan
10.299999999999974,A04,A02,1,65.05266821997884,5.310024077784065,5.266666666666658,0.043357411117407096,97.17990723439532,-0.2453188454747811,69.0,0.272210957908909,0.3029338173673599,8.053994956985538e-07,46.014190258200856,-49.53786071702889,69.0,0.6173446488105075,nan
10.399999999999974,A01,A02,1,194.4187618007345,5.396191156406128,5.266666666666658,0.12952448973947028,97.17990723439532,-0.2453188454747811,69.0,0.272210957908909,0.3029338173673599,8.053994956985538e-07,-101.08509533397121,-0.262149669447321,69.0,0.6492263849637618,nan
15.533333333333289,A02,A03,1,72.35096667014996,10.548230194552458,10.499999999999973,0.04823019455248456,46.907851996739794,49.893870387802856,69.0,0.3012740100086086,0.3193074646136381,8.053994956985538e-07,91.38722233777233,-0.6819207024292917,69.0,0.7294344036783348,nan
15.566666666666622,A04,A03,1,100.19119681623341,10.566730166283532,10.499999999999973,0.0667301662835591,46.907851996739794,49.893870387802856,69.0,0.3012740100086086,0.3193074646136381,8.053994956985538e-07,43.400412853314215,-49.66326824173158,69.0,0.6764315934984099,nan
15.599999999999955,A01,A03,1,154.3077211395789,10.602975581942218,10.499999999999973,0.10297558194224443,46.907851996739794,49.893870387802856,69.0,0.3012740100086086,0.3193074646136381,8.053994956985538e-07,-101.90915506394529,-0.1805114296044905,69.0,0.7116982995382949,nan
20.800000000000193,A02,A04,1,68.33255209156337,15.812222937707823,15.766666666666621,0.04555627104120141,43.317871806533184,-49.662164307407956,69.0,0.3539476993812138,0.3258514113900437,8.053994956985538e-07,88.20287465229659,-0.7244923740920792,69.0,0.7377249734976611,nan
20.833333333333528,A03,A04,1,100.14357143441352,15.833540698687914,15.766666666666621,0.0668740320212926,43.317871806533184,-49.662164307407956,69.0,0.3539476993812138,0.3258514113900437,8.053994956985538e-07,43.84256154412488,50.04137283881619,69.0,0.7408677966765838,nan
20.866666666666863,A01,A04,1,151.99111409737858,15.868000958347304,15.766666666666621,0.10133429168068275,43.317871806533184,-49.662164307407956,69.0,0.3539476993812138,0.3258514113900437,8.053994956985538e-07,-102.68015048368159,-0.32103068487920233,69.0,0.7462816477826516,nan
26.13333333333379,A03,A01,1,156.07369337034638,21.137325599176947,21.033333333333537,0.10399226584340937,-102.70471465770187,-0.3189029636273083,69.0,0.3063755628505419,0.4425988477841233,8.053994956985607e-07,42.47271525148726,50.17623402019687,69.0,0.7743166984033584,nan
26.13333333333379,A04,A01,1,153.70200038742533,21.135778582493767,21.033333333333537,0.10244524916022968,-102.70471465770187,-0.3189029636273083,69.0,0.3063755628505419,0.4425988477841233,8.053994956985607e-07,38.49408780925843,-49.7666560356558,69.0,0.8141268191914858,nan
26.166666666667126,A02,A01,1,191.9978629263664,21.16135199860944,21.033333333333537,0.12801866527590278,-102.70471465770187,-0.3189029636273083,69.0,0.3063755628505419,0.4425988477841233,8.053994956985607e-07,85.15338110160612,-0.7128698679144262,69.0,0.7864349918479628,nan
31.26666666666738,A03,A02,1,66.40162104739495,26.277580650988654,26.233333333333796,0.044247317654857454,85.13254395432438,-0.7130705098345571,69.0,0.3562236758019937,0.4308843776821971,8.053994956985608e-07,40.927451588233346,50.151104651385985,69.0,0.7805037745005557,nan
31.26666666666738,A04,A02,1,63.510200917646024,26.27581495862921,26.233333333333796,0.04248162529541233,85.13254395432438,-0.7130705098345571,69.0,0.3562236758019937,0.4308843776821971,8.053994956985608e-07,36.611661881161574,-48.975201890900834,69.0,0.8111064572544245,nan
31.366666666667385,A01,A02,1,185.92331672081116,26.35729961114597,26.233333333333796,0.12396627781217262,85.13254395432438,-0.7130705098345571,69.0,0.3562236758019937,0.4308843776821971,8.053994956985608e-07,-104.10326041048187,-0.28619481264722557,69.0,0.8768945151769966,nan
36.50000000000049,A02,A03,1,68.1232188519497,31.511973183825898,31.46666666666739,0.045306517158508086,40.87403100475529,50.154295627462446,69.0,0.40384123406605926,0.3800290592214649,8.053994956985608e-07,79.27962976084268,-1.145439457271778,69.0,0.9010428253933652,nan
36.53333333333382,A04,A03,1,99.74855729086637,31.533239840019718,31.46666666666739,0.06657317335232804,40.87403100475529,50.154295627462446,69.0,0.40384123406605926,0.3800290592214649,8.053994956985608e-07,33.96326701581744,-49.04111528101888,69.0,0.8434216766213648,nan
36.56666666666715,A01,A03,1,152.38392731113217,31.56835848007326,31.46666666666739,0.1016918134058713,40.87403100475529,50.154295627462446,69.0,0.40384123406605926,0.3800290592214649,8.053994956985608e-07,-105.00962480436681,-0.22224760029572901,69.0,0.9229594893341359,nan
41.76666666666686,A02,A04,1,66.8218224453731,36.77796688318491,36.73333333333381,0.04463354985109902,33.88071252007058,-49.04297255742428,69.0,0.4512415080100497,0.39554770155212526,8.053994956985469e-07,76.3120999443353,-0.9561617506573332,69.0,0.8706397667416245,nan
41.80000000000019,A03,A04,1,100.23142413084943,36.80018186813253,36.73333333333381,0.06684853479872288,33.88071252007058,-49.04297255742428,69.0,0.4512415080100497,0.39554770155212526,8.053994956985469e-07,37.74748574583893,50.41339670807615,69.0,0.8759020196467003,nan
41.83333333333352,A01,A04,1,146.0099960045853,36.83061666262042,36.73333333333381,0.09728332928661132,33.88071252007058,-49.04297255742428,69.0,0.4512415080100497,0.39554770155212526,8.053994956985469e-07,-105.8117698850563,-0.3524447070494631,69.0,0.9360158350693228,nan
47.09999999999989,A02,A01,1,183.8945966924524,42.12246837843261,42.00000000000018,0.12246837843242986,-105.84207979103427,-0.3522664093705215,69.0,0.32713981222330957,0.6115687523311885,8.053994956985469e-07,73.47413141261293,-0.9727355634720347,69.0,0.898490365540542,nan
47.09999999999989,A03,A01,1,154.06179142812195,42.10269173989111,42.00000000000018,0.10269173989092906,-105.84207979103427,-0.3522664093705215,69.0,0.32713981222330957,0.6115687523311885,8.053994956985469e-07,36.562454697574985,50.53940519335755,69.0,0.8757097391434646,nan
47.09999999999989,A04,A01,1,147.7343640063142,42.09841280163756,42.00000000000018,0.0984128016373802,-105.84207979103427,-0.3522664093705215,69.0,0.32713981222330957,0.6115687523311885,8.053994956985469e-07,29.1707875032783,-49.23525256333988,69.0,0.9433879900293666,nan
52.26666666666626,A03,A02,1,62.426101575545275,47.274980443728026,47.23333333333321,0.041647110394812614,73.41403580237935,-0.9764231246110485,69.0,0.39921156573488664,0.5012994318739494,8.053994956985469e-07,35.1643124696398,50.371282853691724,69.0,0.8639845139256482,nan
52.26666666666626,A04,A02,1,62.394608243756664,47.27498386846407,47.23333333333321,0.041650535130855815,73.41403580237935,-0.9764231246110485,69.0,0.39921156573488664,0.5012994318739494,8.053994956985469e-07,27.15418367368936,-48.56340155475744,69.0,0.9159389480620518,nan
52.333333333332924,A01,A02,1,177.6920368854449,47.35176293260188,47.23333333333321,0.1184295992686657,73.41403580237935,-0.9764231246110485,69.0,0.39921156573488664,0.5012994318739494,8.053994956985469e-07,-107.30807740348115,-0.3368705151182631,69.0,1.0574952638834005,nan
57.4999999999993,A02,A03,1,63.848219011817385,52.50922390076571,52.46666666666625,0.042557234099461994,35.112786981273565,50.37306203049341,69.0,0.46951879712760936,0.3978322078976661,8.053994956985469e-07,67.45140341925696,-1.2712916197674244,69.0,0.9853714805827355,nan
57.53333333333263,A04,A03,1,99.73212693785835,52.53317474051308,52.46666666666625,0.06650807384683333,35.112786981273565,50.37306203049341,69.0,0.46951879712760936,0.3978322078976661,8.053994956985469e-07,24.525508340477273,-48.648698632466896,69.0,0.9341431288997597,nan
57.56666666666596,A01,A03,1,150.60389296717014,52.56710516245684,52.46666666666625,0.10043849579059128,35.112786981273565,50.37306203049341,69.0,0.46951879712760936,0.3978322078976661,8.053994956985469e-07,-108.24978986953926,-0.23425615649852316,69.0,1.0896333769939708,nan
62.73333333333233,A02,A04,1,65.5855345978407,57.74372189922632,57.699999999999285,0.0437218992270374,24.451217437981974,-48.6546475842629,69.0,0.5075092558370677,0.4293278101525218,8.053994956985469e-07,64.62110104654607,-0.8820515481273256,69.0,0.9364941609894223,nan
62.766666666665664,A03,A04,1,100.32537572267947,57.766923122365256,57.699999999999285,0.06692312236597076,24.451217437981974,-48.6546475842629,69.0,0.5075092558370677,0.4293278101525218,8.053994956985469e-07,32.10107429855051,50.609953397358794,69.0,0.9477375650075986,nan
62.799999999998995,A01,A04,1,140.01278013956968,57.79328144171265,57.699999999999285,0.09328144171336561,24.451217437981974,-48.6546475842629,69.0,0.5075092558370677,0.4293278101525218,8.053994956985469e-07,-109.05535447730516,-0.42740337414617235,69.0,1.0840397574177514,nan
