t,agent,x,y,z,ekf_x_hat,ekf_y_hat,ekf_z_hat,ekf_e_norm,ekf_traceP_pos,decent_x_hat,decent_y_hat,decent_z_hat,decent_e_norm,decent_traceP_pos,decent_cost
0.03333333333333333,A01,-100.00361886899788,0.05042154618586687,69.0,-99.76270457293644,-0.23703439398765755,69.0,0.37506081585233714,0.5006734158895902,-99.76270457293644,-0.23703439398765755,69.0,0.37506081585233714,0.5006734158895902,nan
0.03333333333333333,A02,99.9722632465512,-0.0496797359403462,69.0,100.22551719064967,-0.23976994109705999,69.0,0.31665730103371215,0.5006734158895902,100.31699629846065,-0.6947212241178888,69.0,0.7313818418234812,0.5006734158895902,nan
0.03333333333333333,A03,49.99457350299181,50.035587453474456,69.0,50.23694029822301,49.76308767468152,69.0,0.364688624545433,0.5006734158895902,50.826693811036094,49.90631790535551,69.0,0.842101432804022,0.5006734158895902,nan
0.03333333333333333,A04,49.983981190418014,-49.97785661176298,69.0,50.22991491974297,-50.236284962650956,69.0,0.35674726594938005,0.5006734158895902,50.2538986478644,-49.60931308054059,69.0,0.45681480737843266,0.5006734158895902,nan
0.06666666666666667,A01,-100.00320564843555,0.09887116508174874,69.0,-99.76701383587543,-0.23761788874175574,69.0,0.4111100286583546,0.5013470642408862,-99.76701383587543,-0.23761788874175574,69.0,0.4111100286583546,0.5013470642408862,nan
0.06666666666666667,A02,99.94623636783538,-0.09783372356558964,69.0,100.20448175955717,-0.23944223126284384,69.0,0.2945227525977952,0.5013472178596338,100.29596086736815,-0.6943935142836727,69.0,0.6915134195914414,0.5013472178596338,nan
0.06666666666666667,A03,49.983022961304215,50.068689883324275,69.0,50.2240536342381,49.76415907063844,69.0,0.38837456298019446,0.5013470737333935,50.813807147051186,49.90738930131243,69.0,0.8462979623304185,0.5013470737333935,nan
0.06666666666666667,A04,49.96723295770815,-49.95916295633609,69.0,50.21249602102511,-50.23506253179779,69.0,0.36915382426241583,0.5013471426087889,50.23647974914655,-49.60809064968742,69.0,0.4424314627097495,0.5013471426087889,nan
0.1,A01,-100.00932807055027,0.15027827715219744,69.0,-99.77650930402685,-0.237280105460878,69.0,0.45211290401751514,0.5020209114778635,-99.77650930402685,-0.237280105460878,69.0,0.45211290401751514,0.5020209114778635,nan
0.1,A02,99.92069867643313,-0.15041912602908697,69.0,100.18357987115168,-0.24035165267877381,69.0,0.2778387695881308,0.502021388191854,100.27505897896266,-0.6953029356996027,69.0,0.6499766073097352,0.502021388191854,nan
