t,receiver,sender,accepted,range,doppler,t_tx_payload,t_meas,n_range,n_gps,n_nodes,collab_cost,solver_status,receiver_x_post,receiver_y_post,receiver_z_post,traceP_post
5.133333333333325,A03,A01,1,157.84742719975287,-0.3189445205543625,0.03333333333333333,0.13847435301203725,1,0,3,6.449938926587905,Solve_Succeeded,49.23460984618666,49.739426646079984,69.0,0.6037146582417128
5.133333333333325,A04,A01,1,159.85339354267148,-0.13901704081310623,0.03333333333333333,0.13988546410276226,1,0,3,33.74992974506564,Solve_Succeeded,47.75966857137083,-49.72487155490421,69.0,0.6037464015483955
5.166666666666658,A02,A01,1,200.65295604423403,-0.5013343161715625,0.03333333333333333,0.16708265721192095,1,0,3,3.169814076002827,Solve_Succeeded,97.96971803521338,-0.8472286326118014,69.0,0.604444223382019
10.299999999999974,A03,A02,1,70.65902397950404,-0.21150479028121838,5.266666666666658,5.313745065663574,2,0,4,8.04919497803392,Solve_Succeeded,47.663215698057876,49.6913227168781,69.0,0.7081007407949887
10.299999999999974,A04,A02,1,65.05266821997884,-0.07023766588593336,5.266666666666658,5.310024077784065,2,0,4,246.8849887622654,Solve_Succeeded,45.953840061113404,-49.18277960414629,69.0,0.7081662200149238
10.399999999999974,A01,A02,1,194.4187618007345,-0.4091134676388464,5.266666666666658,5.396191156406128,1,0,3,119.87338002760076,Solve_Succeeded,-100.76743060633267,-0.11226352409448097,69.0,0.7100983363152965
15.533333333333289,A02,A03,1,72.35096667014996,-0.20964003140914464,10.499999999999973,10.548230194552458,2,0,4,77.59599725660343,Solve_Succeeded,92.42794055329604,-1.2929785296349072,69.0,0.8140013760427715
15.566666666666622,A04,A03,1,100.19119681623341,-0.01379122555970756,10.499999999999973,10.566730166283532,3,0,5,263.5741598886441,Solve_Succeeded,42.91731089340842,-49.22826480628463,69.0,0.8146057110125119
15.599999999999955,A01,A03,1,154.3077211395789,-0.0816338581193061,10.499999999999973,10.602975581942218,2,0,4,176.14219753934083,Solve_Succeeded,-102.01444323810594,-0.3506567084445031,69.0,0.815147393231758
20.800000000000193,A02,A04,1,68.33255209156337,-0.06576057788633508,15.766666666666621,15.812222937707823,3,0,5,78.84925885747566,Solve_Succeeded,89.23282763342431,-1.3012294957199875,69.0,0.9204645560357755
20.833333333333528,A03,A04,1,100.14357143441352,-0.007430661217790378,15.766666666666621,15.833540698687914,3,0,5,23.34020026936519,Solve_Succeeded,44.42882060190664,49.93318288508712,69.0,0.9209117030928672
20.866666666666863,A01,A04,1,151.99111409737858,-0.2835835492032146,15.766666666666621,15.868000958347304,3,0,5,182.11454085055271,Solve_Succeeded,-102.97321896066703,0.03132213207850134,69.0,0.9215425474469191
26.13333333333379,A03,A01,1,156.07369337034638,-0.09435829722374667,21.033333333333537,21.137325599176947,4,0,6,26.778560762339644,Solve_Succeeded,42.88670876863751,49.67291230969806,69.0,1.0279907335476919
26.13333333333379,A04,A01,1,153.70200038742533,-0.2940462868277497,21.033333333333537,21.135778582493767,4,0,6,308.95716646809143,Solve_Succeeded,37.97095958082446,-49.49494632651255,69.0,1.0281589027558222
26.166666666667126,A02,A01,1,191.9978629263664,-0.41340776616100183,21.033333333333537,21.16135199860944,4,0,6,78.85377157476951,Solve_Succeeded,85.86067183763306,-1.27088032640593,69.0,1.0289515612498457
31.26666666666738,A03,A02,1,66.40162104739495,-0.1993185057628317,26.233333333333796,26.277580650988654,5,0,7,27.194619689501707,Solve_Succeeded,41.61300231595353,49.73490979772,69.0,1.1317029809153774
31.26666666666738,A04,A02,1,63.510200917646024,-0.05526618136529279,26.233333333333796,26.27581495862921,5,0,7,447.2397035188746,Solve_Succeeded,36.1458617521313,-48.48401598365633,69.0,1.1319055494813244
31.366666666667385,A01,A02,1,185.92331672081116,-0.3916956824918914,26.233333333333796,26.35729961114597,4,0,6,276.8652162969354,Solve_Succeeded,-104.0786678578596,-0.05129471963153934,69.0,1.133659235668351
36.50000000000049,A02,A03,1,68.1232188519497,-0.19250552632452297,31.46666666666739,31.511973183825898,5,0,7,452.0411864146387,Solve_Succeeded,77.9756059030386,-2.135319537318385,69.0,1.2378353780659876
36.53333333333382,A04,A03,1,99.74855729086637,-0.0010735884342384847,31.46666666666739,31.533239840019718,6,0,8,728.9983831646542,Solve_Succeeded,32.69374971416266,-49.19037407709258,69.0,1.238346646102988
36.56666666666715,A01,A03,1,152.38392731113217,-0.09044388330756334,31.46666666666739,31.56835848007326,5,0,7,379.6786905128707,Solve_Succeeded,-104.57667367662665,0.2767652391806367,69.0,1.2387079978048219
41.76666666666686,A02,A04,1,66.8218224453731,-0.06275492801018562,36.73333333333381,36.77796688318491,6,0,8,1013.4865416046882,Solve_Succeeded,74.30750463017498,-1.5433009986707336,69.0,1.34429807971167
